ISO3,year,value
KOR,2003,2085960.450344194
KOR,2004,2029925.0919283936
KOR,2005,1934648.238835758
KOR,2006,1877511.3713155005
KOR,2007,1810009.05935777
KOR,2008,1780790.508179001
KOR,2009,1747741.3886945455
KOR,2010,1668051.4379901683
KOR,2011,1636843.0695064184
KOR,2012,1599605.017147956
KOR,2013,1785686.035291433
KOR,2014,1515854.0745539586
KOR,2015,1442334.635239839
KOR,2016,1374466.095859224
KOR,2017,1384312.6725836913
KOR,2018,1415162.55
KOR,2019,1467041.4913541705
SSD,1991,1508082.4460332068
SSD,1992,1469795.306880796
SSD,1993,1431966.0352648003
SSD,1994,1407478.485
SSD,1995,1401942.3868083537
SSD,1996,1424616.5864785763
SSD,1997,1469525.784921419
SSD,1998,1533347.7159389793
SSD,1999,1603704.2777385332
SSD,2000,1670557.926119733
SSD,2001,1728300.8412772974
SSD,2002,1784872.0470513934
SSD,2003,1843065.775304272
SSD,2004,1912458.1507431893
SSD,2005,1990968.244551533
SSD,2006,2077745.9927121936
SSD,2007,2171406.962063412
SSD,2008,2271631.9795018137
SSD,2009,2381231.11166151
SSD,2010,2470703.712986961
SSD,2011,2546302.839320014
SSD,2012,2612972.10359262
SSD,2013,2626880.7347984537
SSD,2014,2685340.135254687
SSD,2015,2766246.274087029
SSD,2016,2805078.485204039
SSD,2017,2824617.4627285656
SSD,2018,2811652.466132082
SSD,2019,2820588.350983926
ESP,1860,5266000.0
ESP,1877,5045000.0
ESP,1887,4854000.0
ESP,1900,5139000.0
ESP,1910,4220000.0
ESP,1920,4538000.0
ESP,1940,4781000.0
ESP,1950,5271000.0
ESP,1964,4177000.0
ESP,1970,3160771.598
ESP,1971,3058917.387
ESP,1972,2942314.398
ESP,1973,2830162.442
ESP,1974,2715208.049
ESP,1975,2604944.001
ESP,1976,2490941.67
ESP,1977,2382016.445
ESP,1978,2291891.181
ESP,1979,2205355.891
ESP,1980,2098217.244
ESP,1981,1976066.976
ESP,1982,1929406.976
ESP,1983,1920926.557
ESP,1984,1851519.781
ESP,1985,1791303.9
ESP,1991,1609234.5995140246
ESP,1992,1582729.462838526
ESP,1993,1576678.9405556964
ESP,1994,1559485.87346857
ESP,1995,1487838.129700674
ESP,1996,1406951.3254746022
ESP,1997,1379412.3414803897
ESP,1998,1342330.571703228
ESP,1999,1280409.9914483468
ESP,2000,1222736.0603179303
ESP,2001,1194700.4984192182
ESP,2002,1145634.717752303
ESP,2003,1132794.5168387375
ESP,2004,1124071.468297328
ESP,2005,1128105.0406543498
ESP,2006,1053573.2966148278
ESP,2007,1015192.6285325972
ESP,2008,934417.7045675984
ESP,2009,963755.3093024462
ESP,2010,988433.7510497964
ESP,2011,966449.3946066598
ESP,2012,995196.0516760234
ESP,2013,1005556.893665432
ESP,2014,982908.0125136916
ESP,2015,952387.084047541
ESP,2016,974934.6510842922
ESP,2017,1002529.731605672
ESP,2018,968765.0679442532
ESP,2019,936075.6736781342
LKA,1991,3082972.8995947232
LKA,1992,3158832.2888964573
LKA,1993,2909718.5730170785
LKA,1994,3205019.7032575067
LKA,1995,2830506.181225198
LKA,1996,2654672.5489255106
LKA,1997,2864027.411532181
LKA,1998,3402440.007036427
LKA,1999,3298031.452249794
LKA,2000,3211370.1042124387
LKA,2001,3224144.806710808
LKA,2002,3195680.8000000003
LKA,2003,3157393.987892404
LKA,2004,3113909.4687583684
LKA,2005,3060579.3396364297
LKA,2006,2987879.5372408866
LKA,2007,2924950.1434376496
LKA,2008,2861846.449753997
LKA,2009,2803475.1675341604
LKA,2010,2628771.408589719
LKA,2011,2598908.134417207
LKA,2012,2531800.5478096115
LKA,2013,2557307.00161013
LKA,2014,2428596.7253623204
LKA,2015,2476241.756239907
LKA,2016,2383470.236421353
LKA,2017,2327249.5805265293
LKA,2018,2217529.47
LKA,2019,2174354.333759848
SDN,1991,3059810.8382104025
SDN,1992,3204577.977260824
SDN,1993,3356932.305134173
SDN,1994,3510486.014894052
SDN,1995,3658770.656317039
SDN,1996,3770924.2230036384
SDN,1997,3841820.4332276313
SDN,1998,3910301.055155173
SDN,1999,3978127.414197821
SDN,2000,4039312.569448543
SDN,2001,4101826.965755477
SDN,2002,4165276.6778258528
SDN,2003,4224148.778621487
SDN,2004,4285516.05778762
SDN,2005,4335390.108532765
SDN,2006,4362132.265504618
SDN,2007,4373260.696484179
SDN,2008,4388352.984960785
SDN,2009,4406478.755503397
SDN,2010,4444711.5373633215
SDN,2011,4439356.737708161
SDN,2012,4450637.993388973
SDN,2013,4486770.769506518
SDN,2014,4536393.72101361
SDN,2015,4568720.475
SDN,2016,4596018.205083314
SDN,2017,4626815.909854638
SDN,2018,4697796.204664315
SDN,2019,4770928.352856126
SUR,1991,5891.50650130192
SUR,1992,6037.513865586359
SUR,1993,6415.100841705299
SUR,1994,8955.55729247672
SUR,1995,10504.67124524314
SUR,1996,9041.299639662351
SUR,1997,8177.94271339686
SUR,1998,8866.8059418068
SUR,1999,10004.7361485078
SUR,2000,10509.70747861128
SUR,2001,11378.15
SUR,2002,12587.47292164538
SUR,2003,13441.272632003029
SUR,2004,14484.305279217002
SUR,2005,14838.736699756091
SUR,2006,15094.21807581536
SUR,2007,15382.64886909464
SUR,2008,15584.099293149751
SUR,2009,15494.496405410402
SUR,2010,15506.104726712438
SUR,2011,15502.6662367101
SUR,2012,15513.94765782138
SUR,2013,15465.57497232418
SUR,2014,15686.475803919053
SUR,2015,16097.707819319809
SUR,2016,17446.963515126852
SUR,2017,17456.14933556007
SUR,2018,17413.66659444624
SUR,2019,17736.16543317468
SWE,1850,949014.5182
SWE,1851,941801.0892
SWE,1852,942600.9453
SWE,1853,952253.268
SWE,1854,968336.5435
SWE,1855,994020.18
SWE,1856,979349.1708
SWE,1857,992546.645
SWE,1858,1019169.198
SWE,1859,1033733.698
SWE,1860,1038088.109
SWE,1861,1036222.432
SWE,1862,1013372.76
SWE,1863,1042558.362
SWE,1864,1044893.669
SWE,1865,1061723.866
SWE,1866,1047317.584
SWE,1867,1062745.96
SWE,1868,1005346.821
SWE,1869,1038368.235
SWE,1870,1087476.746
SWE,1871,1091748.663
SWE,1872,1096117.249
SWE,1873,1100452.339
SWE,1874,1104654.621
SWE,1875,1108484.796
SWE,1876,1112051.65
SWE,1877,1115879.328
SWE,1878,1119287.845
SWE,1879,1123244.243
SWE,1880,1127084.772
SWE,1881,1124352.062
SWE,1882,1121342.138
SWE,1883,1119577.294
SWE,1884,1118272.361
SWE,1885,1117235.862
SWE,1886,1115347.139
SWE,1887,1112178.93
SWE,1888,1108623.165
SWE,1889,1106844.316
SWE,1890,1104386.416
SWE,1891,1102416.498
SWE,1892,1099825.19
SWE,1893,1097665.121
SWE,1894,1097145.931
SWE,1895,1095930.13
SWE,1896,1094438.033
SWE,1897,1093579.302
SWE,1898,1092754.477
SWE,1899,1091614.925
SWE,1900,1089129.469
SWE,1901,1081737.499
SWE,1902,1072822.16
SWE,1903,1063764.923
SWE,1904,1055527.862
SWE,1905,1047198.753
SWE,1906,1038571.983
SWE,1907,1029974.309
SWE,1908,1025798.24
SWE,1909,1022593.321
SWE,1910,1014042.884
SWE,1911,1011133.288
SWE,1912,1007969.316
SWE,1913,1004187.221
SWE,1914,1001257.265
SWE,1915,998446.945
SWE,1916,995969.3323
SWE,1917,995559.8046
SWE,1918,994435.8484
SWE,1919,992434.729
SWE,1920,989865.5053
SWE,1921,980042.8862
SWE,1922,969797.9863
SWE,1923,962957.4735
SWE,1924,956587.809
SWE,1925,949777.3414
SWE,1926,947277.831
SWE,1927,946072.9254
SWE,1928,943097.9491
SWE,1929,941182.9851
SWE,1930,938712.567
SWE,1931,916700.239
SWE,1932,900921.175
SWE,1933,890592.0142
SWE,1934,901675.791
SWE,1935,902058.2281
SWE,1936,898458.8263
SWE,1937,887236.1495
SWE,1938,884169.5164
SWE,1939,873846.5419
SWE,1940,853515.3207
SWE,1941,819354.4061
SWE,1942,784944.2311
SWE,1943,750736.5479
SWE,1944,746217.5227
SWE,1945,739857.3553
SWE,1946,710892.6587
SWE,1947,694151.9389
SWE,1948,679245.3645
SWE,1949,667745.6205
SWE,1950,644945.6123
SWE,1951,625013.3693
SWE,1952,604885.3403
SWE,1953,584561.5253
SWE,1954,564041.9243
SWE,1955,543326.5373
SWE,1956,522415.3643
SWE,1957,501308.4053
SWE,1958,480005.6604
SWE,1959,458507.1294
SWE,1960,436812.8124
SWE,1961,419537.0227
SWE,1962,401845.2203
SWE,1963,383737.1554
SWE,1964,365212.578
SWE,1965,346271.2381
SWE,1966,331559.1451
SWE,1967,316827.9333
SWE,1968,302077.6145
SWE,1969,287308.1999
SWE,1970,272519.731
SWE,1971,256776.9828
SWE,1972,241035.4132
SWE,1973,227589.1952
SWE,1974,224695.2346
SWE,1975,217433.7295
SWE,1976,208491.509
SWE,1977,202055.0843
SWE,1978,202291.6192
SWE,1979,197791.3277
SWE,1980,193126.4643
SWE,1981,186188.0301
SWE,1982,182868.85
SWE,1983,179142.3881
SWE,1984,177255.771
SWE,1985,173318.7736
SWE,1991,181486.344735462
SWE,1992,174725.3239194214
SWE,1993,168178.71662258523
SWE,1994,162837.02336374295
SWE,1995,159261.0201563353
SWE,1996,148096.585
SWE,1997,147208.75
SWE,1998,137809.8253311896
SWE,1999,135877.6800544404
SWE,2000,131361.1868821518
SWE,2001,120883.7293335675
SWE,2002,115373.33553012168
SWE,2003,117407.50578997632
SWE,2004,114963.6490617014
SWE,2005,108781.38645846848
SWE,2006,105931.37870255436
SWE,2007,108551.25
SWE,2008,103709.56762316446
SWE,2009,107004.67108867556
SWE,2010,103804.54930407969
SWE,2011,99530.02960015088
SWE,2012,103749.5075292611
SWE,2013,103543.86342080194
SWE,2014,101850.74557735564
SWE,2015,105812.1460289894
SWE,2016,99266.91946468948
SWE,2017,97673.14129505192
SWE,2018,93418.14992597968
SWE,2019,92196.3645095814
CHE,1991,165835.01136615945
CHE,1992,163213.2945776808
CHE,1993,176321.1198528901
CHE,1994,171156.85686190476
CHE,1995,173062.3615719298
CHE,1996,172608.25363131968
CHE,1997,180867.3962646949
CHE,1998,183342.1947292524
CHE,1999,191182.08339921248
CHE,2000,193909.3012017765
CHE,2001,176432.38564687883
CHE,2002,175641.69324419944
CHE,2003,175605.56891564213
CHE,2004,161413.8427569288
CHE,2005,162749.30496440604
CHE,2006,161448.6332846267
CHE,2007,172333.88
CHE,2008,158329.9457071377
CHE,2009,145621.5475
CHE,2010,154411.63539047187
CHE,2011,159329.5348460697
CHE,2012,162286.1712667708
CHE,2013,164351.7860498012
CHE,2014,169794.67079542033
CHE,2015,165590.76674380046
CHE,2016,164303.0540655294
CHE,2017,153006.7700341764
CHE,2018,150105.22896334928
CHE,2019,128595.49003003376
SYR,1991,1027676.16148486
SYR,1992,1119381.4456441037
SYR,1993,1220495.161488526
SYR,1994,1216105.4869852285
SYR,1995,1204962.5451351458
SYR,1996,1228393.1630113488
SYR,1997,1253604.909267638
SYR,1998,1265255.0195988093
SYR,1999,1307868.083846703
SYR,2000,1600165.8948222497
SYR,2001,1540133.0964388528
SYR,2002,1461606.9098164288
SYR,2003,1385005.5957861163
SYR,2004,1286687.4533740184
SYR,2005,1190837.2541565
SYR,2006,1116892.7906615366
SYR,2007,1046853.6536363246
SYR,2008,999244.30672788
SYR,2009,904506.4
SYR,2010,837030.2576678812
SYR,2011,761770.4081136507
SYR,2012,748750.0677672221
SYR,2013,728634.3176948975
SYR,2014,693076.8522783983
SYR,2015,649427.0751468984
SYR,2016,610106.8356742407
SYR,2017,577698.2911018302
SYR,2018,548771.7820780704
SYR,2019,529194.244746433
TJK,1991,729800.893557138
TJK,1992,755903.200454712
TJK,1993,781812.2263670699
TJK,1994,810907.65
TJK,1995,839929.9361138444
TJK,1996,870411.1368182793
TJK,1997,893664.80918355
TJK,1998,917523.7659437872
TJK,1999,938416.6759410592
TJK,2000,958099.934492714
TJK,2001,973932.9429654938
TJK,2002,990506.3198894334
TJK,2003,1007936.8288734672
TJK,2004,1031693.47296252
TJK,2005,1043090.6783613932
TJK,2006,1056652.5267910743
TJK,2007,1063470.6697192434
TJK,2008,1064828.8979104916
TJK,2009,1079924.1208488948
TJK,2010,1094846.6531658713
TJK,2011,1100081.3175
TJK,2012,1107223.43351636
TJK,2013,1109554.1163695918
TJK,2014,1110851.9064049264
TJK,2015,1109162.390492266
TJK,2016,1106008.3698951816
TJK,2017,1082411.179188249
TJK,2018,1062800.2137811095
TJK,2019,1040848.1899952316
TZA,1991,10491482.334144209
TZA,1992,10859792.714284496
TZA,1993,11240521.75889702
TZA,1994,11619163.593008764
TZA,1995,11980334.65923194
TZA,1996,12280057.189905142
TZA,1997,12569504.495334215
TZA,1998,12845519.582609478
TZA,1999,13113503.796646638
TZA,2000,13386525.666011838
TZA,2001,13629852.494981384
TZA,2002,13769587.674617004
TZA,2003,13880895.282198818
TZA,2004,13956431.0625
TZA,2005,13990794.599393316
TZA,2006,13950383.125114365
TZA,2007,14190267.9975
TZA,2008,14438070.442714527
TZA,2009,14683836.986872638
TZA,2010,14910179.31068833
TZA,2011,15112923.62498825
TZA,2012,15348170.358496644
TZA,2013,15551613.005822975
TZA,2014,15744115.39465099
TZA,2015,16112107.279862562
TZA,2016,16486023.371210922
TZA,2017,16866455.858074
